transaction_id,date,category,region,units_sold,unit_price,discount,revenue
TX046,2026-04-05,Beauty,East,8,1225,0.05,9310
TX047,2026-04-07,Electronics,South,6,26500,0.05,150675
TX048,2026-04-09,Home & Kitchen,North,7,4900,0.05,32585
TX049,2026-04-11,Clothing,West,14,1580,0.00,22120
TX050,2026-04-13,Beauty,South,9,1280,0.10,10368
TX051,2026-04-15,Electronics,East,2,33000,0.05,62700
TX052,2026-04-17,Home & Kitchen,South,5,5300,0.08,24380
TX053,2026-04-19,Clothing,North,10,1950,0.05,18525
TX054,2026-04-21,Beauty,West,11,1050,0.05,10972.5
TX055,2026-04-23,Electronics,South,4,27500,0.10,99000
TX056,2026-04-25,Home & Kitchen,East,6,4750,0.05,27075
TX057,2026-04-27,Clothing,South,13,1680,0.05,20748
TX058,2026-04-29,Beauty,North,8,1325,0.00,10600
TX059,2026-05-01,Electronics,West,3,28500,0.05,81225
TX060,2026-05-03,Home & Kitchen,South,4,5050,0.10,18180
TX061,2026-05-05,Clothing,East,9,1880,0.05,16074
TX062,2026-05-07,Beauty,South,7,1160,0.05,7714
TX063,2026-05-09,Electronics,North,5,26000,0.08,119600
TX064,2026-05-11,Home & Kitchen,West,6,5400,0.05,30780
TX065,2026-05-13,Clothing,South,11,1750,0.10,17325
TX066,2026-05-15,Beauty,East,10,1275,0.05,12112.5
TX067,2026-05-17,Electronics,South,4,29500,0.05,112100
TX068,2026-05-19,Home & Kitchen,North,8,4650,0.00,37200
TX069,2026-05-21,Clothing,West,15,1625,0.05,23156.25
TX070,2026-05-23,Beauty,South,9,1200,0.10,9720
TX071,2026-05-25,Electronics,East,3,32500,0.05,92625
TX072,2026-05-27,Home & Kitchen,South,5,5150,0.08,23690
TX073,2026-05-29,Clothing,North,12,1825,0.05,20745
TX074,2026-05-31,Beauty,West,8,1100,0.05,8360
TX075,2026-06-02,Electronics,South,6,28000,0.10,151200
TX076,2026-06-04,Home & Kitchen,East,7,4950,0.05,32917.5
TX077,2026-06-06,Clothing,South,10,1700,0.05,16150
TX078,2026-06-08,Beauty,North,11,1250,0.00,13750
TX079,2026-06-10,Electronics,West,4,27500,0.07,102300
TX080,2026-06-12,Home & Kitchen,South,6,4850,0.10,26190
TX081,2026-06-14,Clothing,East,14,1800,0.05,23940
TX082,2026-06-16,Beauty,South,9,1190,0.05,10174.5
TX083,2026-06-18,Electronics,North,3,30500,0.05,86925
TX084,2026-06-20,Home & Kitchen,West,5,5250,0.00,26250
TX085,2026-06-22,Clothing,South,12,1760,0.10,19008
TX086,2026-06-24,Beauty,East,7,1300,0.05,8645
TX087,2026-06-26,Electronics,South,5,26800,0.05,127300
TX088,2026-06-28,Home & Kitchen,North,8,4750,0.05,36100
TX089,2026-06-30,Clothing,West,16,1590,0.00,25440
TX090,2026-07-02,Beauty,South,10,1175,0.10,10575
TX091,2026-07-04,Electronics,East,2,31500,0.05,59850
TX092,2026-07-06,Home & Kitchen,South,5,5050,0.05,23987.5
TX093,2026-07-08,Clothing,North,13,1850,0.05,22823.75
TX094,2026-07-10,Beauty,West,8,1260,0.00,10080
TX095,2026-07-12,Electronics,South,4,28800,0.08,105984
TX096,2026-07-14,Home & Kitchen,East,6,4850,0.05,27645
TX097,2026-07-16,Clothing,South,11,1720,0.10,17028
TX098,2026-07-18,Beauty,North,9,1340,0.05,11457
TX099,2026-07-20,Electronics,West,3,27800,0.05,79230
TX100,2026-07-22,Home & Kitchen,South,7,4950,0.10,31185
TX101,2026-07-24,Clothing,East,10,1790,0.05,17005
TX102,2026-07-26,Beauty,South,8,1210,0.05,9196
TX103,2026-07-28,Electronics,North,5,26800,0.05,127300
TX104,2026-07-30,Home & Kitchen,West,6,5150,0.00,30900
TX105,2026-08-01,Clothing,South,12,1810,0.10,19548
TX106,2026-08-03,Beauty,East,7,1290,0.05,8578.5
TX107,2026-08-05,Electronics,South,4,29200,0.05,110960
TX108,2026-08-07,Home & Kitchen,North,8,4700,0.05,35720
TX109,2026-08-09,Clothing,West,15,1600,0.00,24000
TX110,2026-08-11,Beauty,South,9,1230,0.10,9963
TX027,2026-02-26,Electronics,South,100,25000,0.05,2375000
